
I (4354) main_task: Returned from app_main()
I (4364) csi_recv_router: ================ CSI RECV ================
type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,0,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3014858,0,83,0,128,1,"[83,-80,4,0,-34,40,-34,40,-33,40,-32,40,-32,39,-31,39,-30,39,-29,40,-28,39,-28,39,-28,39,-28,39,-27,38,-27,36,-27,35,-27,33,-26,32,-26,31,-26,29,-26,27,-25,24,-24,22,-24,21,-23,19,-24,18,-6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-12,14,-13,14,-14,15,-15,16,-16,17,-17,18,-19,20,-20,21,-22,22,-23,23,-24,24,-25,25,-26,26,-27,26,-28,27,-27,29,-28,30,-29,32,-29,33,-30,34,-31,35,-31,37,-31,39,-32,39,-32,40,-32,42]"
CSI_DATA,2,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3026158,0,83,0,128,1,"[83,-80,4,0,6,-28,6,-28,6,-28,6,-28,6,-28,5,-27,5,-27,5,-27,4,-27,4,-27,4,-27,4,-27,4,-26,4,-26,5,-25,6,-24,6,-23,6,-23,6,-21,7,-20,7,-19,7,-17,7,-16,7,-15,8,-15,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,-11,2,-11,2,-12,2,-12,3,-13,3,-14,4,-15,4,-16,5,-17,5,-18,5,-18,6,-19,6,-20,6,-20,6,-21,6,-21,6,-22,6,-23,6,-24,6,-24,6,-25,6,-26,6,-27,6,-27,6,-28,6,-29]"
CSI_DATA,4,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3034432,0,83,0,128,1,"[83,-80,4,0,24,14,24,14,24,14,24,14,24,13,24,13,24,12,24,12,23,12,23,11,23,11,23,11,23,11,22,11,22,11,21,11,20,11,19,11,18,11,17,11,16,11,14,11,13,10,12,11,11,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,6,8,6,9,6,9,7,10,8,10,8,11,9,12,10,13,11,13,11,14,12,14,12,15,13,15,13,16,13,16,13,17,13,18,14,19,13,20,14,21,14,22,14,22,14,22,14,23,14,23,15]"
CSI_DATA,6,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3040337,0,83,0,128,1,"[83,-80,4,0,-49,19,-49,19,-48,19,-48,18,-47,19,-46,19,-45,19,-45,20,-44,20,-43,21,-43,21,-43,21,-42,20,-41,18,-40,17,-40,16,-39,15,-37,14,-36,13,-35,11,-34,9,-32,8,-31,7,-30,6,-29,5,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-18,5,-19,5,-20,6,-21,6,-23,6,-24,7,-26,7,-28,7,-30,8,-31,8,-32,9,-33,9,-35,9,-37,9,-37,10,-38,10,-39,11,-40,13,-42,13,-43,14,-44,15,-45,16,-46,17,-47,18,-48,19,-49,20]"
CSI_DATA,8,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3052378,0,83,0,128,1,"[83,-80,4,0,-29,-8,-28,-8,-28,-8,-28,-8,-28,-7,-28,-7,-27,-7,-27,-6,-27,-6,-26,-6,-27,-6,-27,-5,-26,-5,-25,-6,-25,-6,-24,-6,-23,-7,-22,-7,-21,-7,-20,-7,-19,-7,-18,-8,-17,-8,-15,-8,-15,-9,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-10,-4,-11,-4,-12,-4,-12,-5,-13,-5,-14,-6,-15,-6,-16,-7,-17,-7,-17,-8,-18,-8,-18,-8,-19,-9,-20,-9,-20,-9,-21,-9,-22,-9,-23,-9,-23,-9,-24,-8,-25,-8,-26,-8,-26,-8,-27,-9,-27,-9,-28,-9]"
CSI_DATA,10,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3058947,0,83,0,128,1,"[83,-80,4,0,47,19,47,19,47,19,47,19,47,18,46,18,46,17,45,17,44,16,44,15,44,14,44,14,43,15,41,16,40,16,39,16,37,16,35,17,33,17,32,17,30,17,28,16,26,16,24,17,23,18,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,17,6,18,7,19,7,20,7,21,9,23,10,24,11,25,12,27,13,28,13,29,14,30,14,32,15,33,16,34,16,34,16,36,17,38,17,40,17,41,17,43,17,44,18,45,18,46,18,48,18,50,18]"
CSI_DATA,12,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3065594,0,83,0,128,1,"[83,-80,4,0,50,11,50,11,49,11,49,11,49,11,49,10,48,10,47,9,47,8,46,8,46,7,46,7,45,8,44,9,43,9,41,10,39,10,38,11,36,11,34,12,32,12,30,12,28,13,26,13,25,14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,3,19,4,20,4,21,4,22,5,24,6,25,6,27,7,29,7,30,8,31,8,32,9,34,9,35,10,36,10,37,10,38,10,40,10,42,10,43,10,45,10,46,10,47,10,48,10,50,10,52,10]"
CSI_DATA,14,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3075367,0,83,0,128,1,"[83,-80,4,0,33,-40,33,-40,32,-40,32,-40,31,-40,30,-40,29,-40,28,-40,28,-39,28,-39,28,-39,27,-39,27,-38,26,-37,26,-35,26,-34,26,-33,25,-32,25,-30,24,-28,24,-25,23,-23,23,-21,23,-20,23,-19,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,12,-15,13,-15,14,-16,15,-16,16,-17,17,-19,18,-20,20,-21,21,-22,22,-22,23,-23,24,-24,26,-25,27,-26,27,-27,27,-28,27,-30,29,-31,30,-33,30,-34,30,-35,30,-37,31,-37,32,-38,33,-39,33,-41]"
CSI_DATA,16,11:22:33:44:55:f4,-20,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3090256,0,83,0,128,1,"[83,-80,4,0,-13,-27,-13,-27,-13,-27,-13,-26,-14,-26,-14,-25,-14,-25,-14,-25,-14,-25,-13,-24,-13,-24,-14,-23,-13,-23,-13,-23,-12,-23,-11,-22,-11,-22,-10,-22,-9,-21,-8,-20,-7,-19,-6,-18,-5,-18,-4,-17,-3,-17,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-5,-10,-5,-11,-5,-11,-5,-12,-6,-13,-6,-14,-6,-15,-6,-16,-6,-17,-6,-18,-6,-18,-6,-19,-6,-20,-7,-20,-7,-21,-8,-21,-8,-22,-9,-23,-10,-23,-11,-23,-11,-24,-12,-25,-12,-25,-12,-26,-12,-26,-13,-27]"
CSI_DATA,18,11:22:33:44:55:f4,-25,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3096870,0,83,0,128,1,"[83,-80,4,0,-32,-5,-31,-5,-31,-5,-31,-5,-31,-4,-30,-4,-30,-3,-30,-3,-29,-2,-29,-2,-29,-2,-29,-2,-29,-2,-28,-2,-27,-3,-27,-3,-26,-3,-25,-4,-24,-4,-23,-5,-22,-5,-20,-5,-19,-6,-18,-6,-17,-7,-5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-12,-3,-12,-3,-13,-3,-14,-4,-14,-4,-15,-5,-16,-5,-17,-5,-18,-6,-19,-6,-20,-6,-20,-7,-21,-7,-22,-7,-22,-7,-23,-7,-24,-7,-25,-7,-26,-6,-27,-6,-27,-6,-28,-6,-29,-5,-30,-5,-30,-5,-29,-5]"
